Designator,Footprint,Quantity,Value,LCSC Part #,Generic Name,Price (US $),Links,Comments,Distributor
C1,805,5,100uF,,Capacitors,2.51,100 uF,,Mouser India
"C2, C4, C5",402,10,10uF,,,0.46,10 uF,,Mouser India
C3,402,5,22uF,,,3.01,22 uF,,Mouser India
C6,402,5,1uF,,,2.07,1 uF,,Mouser India
"C7, C8",402,5,0.1uF,,,1.87,0.1 uF,,Mouser India
D1,D_SMA,3,SS14,,Reverse Polarity Protection Diode,1.3,Diode,,Mouser India
DS1,LCD_OLED_128X64_1.3_I2C,1,OLED_128X64_1.3_I2C,,"1.3"" OLED IIC",5.59,OLED,,Amazon  India
E1,XCVR_ANT-GNCP-TH25AL12,2,ANT-GNCP-TH25AL12,,Ceramic Patch Antenna,22.2,Antenna,,Mouser India
"J1, J2",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,,Pin headers,0,,,Self Sourced
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,,,,,,
L1,805,5,2.2uH,,Inductor,2.81,Inductor,,Mouser India
PS1,WSON-8_L2.0-W2.0-P0.50-TL-EP,3,TPS62163DSGR,C97534,Switching Buck Regulator,5.09,TPS62163,,Mouser India
R1,805,10,100K,,Resistor,0.37,100K,,Mouser India
U1,XIAO-RP2040-DIP,2,XIAO-RP2040-DIP,,MCU,10.66,MCU,,Mouser India
U2,XCVR_NEO-M9N-00B,2,NEO-M9N-00B,,GNSS Module,23.69,GNSS,,Mouser India
U3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,2,LSM6DS3,,3D Gyroscope + Accelerometer ,13.42,Gyro+Accelerometer,,Mouser India
PCB,,,,,,4,,,JLCPCB
Stencil,,,,,,7.16,,,JLCPCB
,,1,,,Hot air gun [ 2 in 1],37.1,Hot Air Gun,(cheaper and better than any hotplate on amazon[reviews for the hotplate were horrible]),Amazon India
,,1,,,Soldering Paste,5,Soldering Paste,,Amazon India
,,1,,,Flux Paste,4.13,Flux Paste,,Amazon India
,,10,,,M3 bolts 15mm,2.91,M3 bolts,,Amazon India
,,10,,,M3 bolts 30mm,3.37,M3 bolts 30mm,,Amazon India
,,50,,,M3 nuts,1.51,M3 Nuts,,Amazon India
,,10,,,2 pin 2.5mm Cable Micro Male and Female Connector Plug For Lithium Ion Battery connector,0.93,JST Connector,,Amazon India
,,1,,,2 cell LiPo [2000 maH],7.41,Battery,,Amazon India
,,1,,,2 cell LiPo Charger,1.66,Charger for LiPo,,Amazon India
,,,,,,,,,
SHIPPING (Mouser +JLCPCB),,,,,,21.58,,"Ordering hot air gun, solder paste etc. Because getting the tools and self assembling ",
,,,,,TOTAL -->,191.81,,is cheaper than JLCPCBA and helps future projects also be cheaper ,
