Designator,Mid X,Mid Y,Rotation,Layer
C1,219.94,-66.93,90.0,top
C10,248.31,-50.19,0.0,top
C11,248.49,-51.67,270.0,top
C12,245.6,-52.42,0.0,top
C2,243.13,-60.23,90.0,top
C3,248.01,-65.71,270.0,top
C4,220.2,-64.63,0.0,top
C5,221.84,-49.05,0.0,top
C6,233.06,-46.46,180.0,top
C7,223.8,-49.05,180.0,top
C8,235.02,-46.48,180.0,top
C9,245.29,-58.56,0.0,top
D1,210.49,-66.71,180.0,top
DS1,187.03,-50.8925,180.0,top
E1,220.91,-30.635,0.0,top
J1,187.3,-70.59,90.0,top
J2,201.33,-70.57,90.0,top
J3,215.725,-70.65,90.0,top
L1,248.0,-62.54,0.0,top
Q1,239.05,-49.68,0.0,top
Q2,242.51,-47.63,90.0,top
R1,244.83,-60.1675,270.0,top
R2,242.49,-58.73,0.0,top
R3,245.6,-50.36,0.0,top
R4,245.57,-51.39,180.0,top
U1,231.23,-62.09,270.0,top
U2,213.23,-54.88,0.0,top
U3,230.27,-48.565,90.0,top
U4,243.89,-62.67,180.0,top
U5,243.02,-50.83,0.0,top
